64,3136
64,3008
64,2912
96,2848
96,3040
96,3008
128,2176
128,2336
128,2368
128,2400
128,3072
160,2656
160,2752
160,3008
192,928
192,1376
192,1408
192,2464
192,2528
192,2560
192,2880
192,3040
192,2944
224,2368
224,2464
256,2368
256,2528
256,2752
256,2944
288,3072
320,2368
320,2624
320,2688
320,2720
352,2368
352,2720
352,2752
352,2880
384,2368
384,2720
384,3008
416,2368
416,2560
480,2880
480,3040
480,2880
544,2656
576,2400
576,2432
608,2464
608,2720
608,2944
640,3040
672,2880
736,2720
768,2880
768,2976
800,2528
800,2560
800,2784
832,2528
832,2496
864,2560
864,2592
896,2688
896,2720
896,2944
928,2816
992,2368
1056,2368
1056,2624
1056,2720
1088,2400
1088,2528
1088,2560
1088,3040
1088,3072
1120,2400
1120,2560
1120,2880
1152,2592
1152,2880
1280,2752
1280,2944
1280,2976
1312,2432
1312,2848
1376,3072
1440,3040
1472,2560
1504,2368
1504,2656
1504,2688
1504,2880
1504,2912
1536,2816
1536,2912
1568,2528
1568,2912
1600,2944
1664,2752
1696,2528
1696,2752
1728,2528
1728,2560
1728,2752
1760,2944
1792,2592
1792,2784
1824,2496
1824,2784
1856,2400
1888,3040
1888,3072
1920,2656
1920,2784
2016,2880
2048,2592
2080,2784
2112,2400
2112,2432
2112,2592
2112,2752
2112,2784
2112,3040
2144,2496
2144,2528
2144,2752
2176,2528
2176,2976
2240,2368
2240,2848
2272,2720
2304,2368
2304,3104
2336,3104
2368,2592
2368,2752
2400,2528
2400,2848
2432,2944
2464,2944
2496,2688
2496,2720
2528,2720
2528,2752
2528,2784
2528,2848
2560,2784
2592,2400
2624,3136
2656,2720
2688,2464
2720,2688
2752,2432
2752,2976
2784,2752
2784,2976
2816,2752
2848,2368
2912,2432
2912,2560
2944,2720
2976,2720
2976,3040
